question,answer,priority,category,auto_resolution,source,intent_tag
"My Windows login password has expired, how do I reset it?","1. Click on the Start button and select the Settings app. 2. In the Settings app, click on the 'Accounts' option. 3. Click on the 'Sign-in options' tab and then click on the 'Password' option. 4. Click on the 'Change' button and enter your current password to proceed. 5. Enter your new password and confirm it by re-entering it in the 'Confirm password' field. 6. Click on the 'Save' button to save the changes. 7. If the issue persists, contact the IT helpdesk.",high,Access Management,True,synthetic_groq,password_reset_windows
"I forgot my Windows login password, what should I do?","1. Click on the Start button and select the Settings app. 2. In the Settings app, click on the 'Accounts' option. 3. Click on the 'Sign-in options' tab and then click on the 'Password' option. 4. Click on the 'Forgot password' link and follow the on-screen instructions to reset your password. 5. Enter your username, email address, or phone number associated with your Microsoft account to receive a password reset link. 6. Click on the link to reset your password and follow the on-screen instructions. 7. If the issue persists, contact the IT helpdesk.",high,Access Management,True,synthetic_groq,password_reset_windows
How do I unlock a user account that has been locked due to multiple failed login attempts?,"1. Check the user's login history to confirm the number of failed login attempts. 2. Verify that the user has been informed of the account lockout policy and the need to reset their password. 3. Reset the user's password using the password reset tool. 4. Once the password has been reset, have the user attempt to log in with their new password. 5. If the login is successful, the account will be unlocked automatically.",high,Access Management,True,synthetic_groq,account_locked
What should I do if a user reports that their account has been locked after trying to log in?,"1. Ask the user to confirm the number of failed login attempts they have made. 2. Check the user's login history to verify the number of failed login attempts. 3. If the user has exceeded the maximum number of allowed attempts, reset their password using the password reset tool. 4. Provide the user with instructions on how to reset their password and log in successfully. 5. If the issue persists, contact the IT helpdesk.",high,Access Management,True,synthetic_groq,account_locked
How can I unlock a user account if they have forgotten their password and exceeded the maximum number of allowed login attempts?,"1. Reset the user's password using the password reset tool. 2. Once the password has been reset, send the user an email with instructions on how to log in with their new password. 3. Have the user attempt to log in with their new password. 4. If the login is successful, the account will be unlocked automatically. 5. If the issue persists, contact the IT helpdesk.",high,Access Management,True,synthetic_groq,account_locked
What is the process for unlocking a user account that has been locked due to multiple failed login attempts?,"1. Verify the user's identity and confirm that they have exceeded the maximum number of allowed login attempts. 2. Reset the user's password using the password reset tool. 3. Provide the user with instructions on how to reset their password and log in successfully. 4. Have the user attempt to log in with their new password. 5. If the login is successful, the account will be unlocked automatically.",high,Access Management,True,synthetic_groq,account_locked
I've been asked to unlock a user account that has been locked due to multiple failed login attempts. What should I do?,"1. Check the user's login history to confirm the number of failed login attempts. 2. Verify that the user has been informed of the account lockout policy and the need to reset their password. 3. Reset the user's password using the password reset tool. 4. Once the password has been reset, have the user attempt to log in with their new password. 5. If the issue persists, contact the IT helpdesk.",high,Access Management,True,synthetic_groq,account_locked
How do I set up Multi-Factor Authentication (MFA) on my new laptop?,"1. Open the Microsoft Authenticator app on your laptop and sign in with your work account credentials. 2. Tap on the '+' icon to add a new account and select 'Work or school' as the account type. 3. Enter your work email address and tap 'Next' to proceed. 4. You will receive a prompt to scan a QR code or enter a setup key; choose the method that suits you best. 5. Once you've completed the setup process, you'll be prompted to enter a verification code sent to your registered phone or email. 6. If you've set up MFA on your phone, you can also use the Microsoft Authenticator app to receive the verification code. 7. After entering the verification code, you'll be taken to the Microsoft Authenticator app's main screen, where you can see your work account listed. 8. If the issue persists, contact the IT helpdesk.",medium,Access Management,True,synthetic_groq,mfa_setup
What are the steps to reconfigure Multi-Factor Authentication (MFA) on my new desktop?,"1. Open the Google Authenticator app on your desktop and sign in with your work account credentials. 2. Tap on the 'Add' button to add a new account and select 'Work or school' as the account type. 3. Enter your work email address and tap 'Next' to proceed. 4. You will receive a prompt to scan a QR code or enter a setup key; choose the method that suits you best. 5. Once you've completed the setup process, you'll be prompted to enter a verification code sent to your registered phone or email. 6. If you've set up MFA on your phone, you can also use the Google Authenticator app to receive the verification code. 7. After entering the verification code, you'll be taken to the Google Authenticator app's main screen, where you can see your work account listed. 8. If the issue persists, contact the IT helpdesk.",medium,Access Management,True,synthetic_groq,mfa_setup
How do I configure Multi-Factor Authentication (MFA) on my new tablet?,"1. Download and install the Microsoft Authenticator app from the app store on your tablet. 2. Open the app and sign in with your work account credentials. 3. Tap on the '+' icon to add a new account and select 'Work or school' as the account type. 4. Enter your work email address and tap 'Next' to proceed. 5. You will receive a prompt to scan a QR code or enter a setup key; choose the method that suits you best. 6. Once you've completed the setup process, you'll be prompted to enter a verification code sent to your registered phone or email. 7. If you've set up MFA on your phone, you can also use the Microsoft Authenticator app to receive the verification code. 8. After entering the verification code, you'll be taken to the Microsoft Authenticator app's main screen, where you can see your work account listed. 9. If the issue persists, contact the IT helpdesk.",medium,Access Management,True,synthetic_groq,mfa_setup
